campaign_id,memory_mode,total_trials,kept,discarded,failed_invalid,degraded_metric,proposal_precondition_failed,initial_val_auc,best_val_auc,net_gain,repeated_bad_count,repeated_bad_rate,flagged_trial_ids
p8_memory10_none,none,10,3,7,0,7,0,0.774711,0.776756,0.0020449999999999635,6,0.6,"p8_memory10_none-trial-003,p8_memory10_none-trial-005,p8_memory10_none-trial-006,p8_memory10_none-trial-007,p8_memory10_none-trial-009,p8_memory10_none-trial-010"
p8_memory10_append_only_summary,append_only_summary,10,4,5,1,5,1,0.774711,0.782733,0.008021999999999974,4,0.4,"p8_memory10_append_only_summary-trial-003,p8_memory10_append_only_summary-trial-005,p8_memory10_append_only_summary-trial-007,p8_memory10_append_only_summary-trial-008"
p8_memory10_append_only_summary_with_rationale,append_only_summary_with_rationale,10,4,5,1,5,1,0.774711,0.782733,0.008021999999999974,4,0.4,"p8_memory10_append_only_summary_with_rationale-trial-003,p8_memory10_append_only_summary_with_rationale-trial-005,p8_memory10_append_only_summary_with_rationale-trial-007,p8_memory10_append_only_summary_with_rationale-trial-008"
